Parameters of Sample:   Name of the Sample
Concentration (mg/ml):   8.6800
Volumn (ml):   0.4000
Experiment Date:	10/31/2017	12:09 PM	Recording Period (ms): 1000.0000

Time	H	Frequency	T1	T2	T3	IpSupply	VpSupply	Current	SAR	sd SAR	L
50.0000	4933.1360	992773.0068	22.6700	0.0000	0.0000	1.4210	18.3940	36.5417	0.0000	0.0000	0.0000
51.0000	4933.3637	992774.5274	22.7000	0.0000	0.0000	1.4210	18.3940	36.5434	0.0000	0.0000	0.0000
52.0000	4933.5045	992775.6092	22.8400	0.0000	0.0000	1.4210	18.3940	36.5445	0.0000	0.0000	0.0000
53.0000	4935.5209	992774.8093	22.8100	0.0000	0.0000	1.4210	18.3940	36.5594	0.0000	0.0000	0.0000
54.0000	4933.6452	992777.1150	22.8200	0.0000	0.0000	1.4210	18.3940	36.5455	0.0000	0.0000	0.0000
55.0000	4933.2767	992778.1172	22.8200	0.0000	0.0000	1.4210	18.3940	36.5428	0.0000	0.0000	0.0000
56.0000	4932.3990	992776.6928	22.8200	0.0000	0.0000	1.4210	18.3940	36.5363	0.0000	0.0000	0.0000
57.0000	4932.3990	992775.8402	22.9300	0.0000	0.0000	1.4210	18.3940	36.5363	0.0000	0.0000	0.0000
58.0000	4931.9435	992776.8918	22.9700	0.0000	0.0000	1.4210	18.3940	36.5329	0.0000	0.0000	0.0000
59.0000	4930.6641	992776.6387	22.9200	0.0000	0.0000	1.4210	18.3940	36.5234	0.0000	0.0000	0.0000
60.0000	4932.9082	992776.7573	22.8500	0.0000	0.0000	1.4210	18.3940	36.5401	0.0000	0.0000	0.0000
61.0000	4932.6805	992775.7413	22.8400	0.0000	0.0000	1.4210	18.3940	36.5384	0.0000	0.0000	0.0000
62.0000	4931.6288	992774.9191	22.8700	0.0000	0.0000	1.4120	18.3940	36.5306	0.0000	0.0000	0.0000
63.0000	4933.2767	992775.3525	22.9500	0.0000	0.0000	1.4210	18.3940	36.5428	0.0000	0.0000	0.0000
64.0000	4931.2603	992776.0628	23.0000	0.0000	0.0000	1.4210	18.3940	36.5279	0.0000	0.0000	0.0000
65.0000	4932.6805	992775.6398	23.0000	0.0000	0.0000	1.4210	18.3940	36.5384	0.0000	0.0000	0.0000
66.0000	4932.5398	992775.0456	22.9600	0.0000	0.0000	1.4210	18.3940	36.5373	0.0000	0.0000	0.0000
67.0000	4930.2086	992776.3216	22.9800	0.0000	0.0000	1.4210	18.3940	36.5201	0.0000	0.0000	0.0000
68.0000	4930.6641	992777.4844	23.0600	0.0000	0.0000	1.4210	18.3940	36.5234	0.0000	0.0000	0.0000
69.0000	4932.5398	992776.1745	23.1000	0.0000	0.0000	1.4210	18.3940	36.5373	0.0000	0.0000	0.0000
70.0000	4936.2579	992774.9507	23.0800	0.0000	0.0000	1.4210	18.3940	36.5649	0.0000	0.0000	0.0000
71.0000	4934.4154	992777.8145	23.0000	0.0000	0.0000	1.4210	18.3940	36.5512	0.0000	0.0000	0.0000
72.0000	4933.7322	992776.2947	23.0500	0.0000	0.0000	1.4210	18.3940	36.5462	0.0000	0.0000	0.0000
73.0000	4932.6267	992778.1720	23.0600	0.0000	0.0000	1.4210	18.3940	36.5380	0.0000	0.0000	0.0000
74.0000	4929.3308	992772.6881	23.0900	0.0000	0.0000	1.4210	18.3940	36.5136	0.0000	0.0000	0.0000
75.0000	4933.5045	992774.8525	23.1600	0.0000	0.0000	1.4210	18.3940	36.5445	0.0000	0.0000	0.0000
76.0000	4930.5233	992775.1326	23.1100	0.0000	0.0000	1.4210	18.3940	36.5224	0.0000	0.0000	0.0000
77.0000	4930.0678	992773.3424	23.0900	0.0000	0.0000	1.4210	18.3940	36.5190	0.0000	0.0000	0.0000
78.0000	4932.9082	992773.7123	23.1400	0.0000	0.0000	1.4210	18.3940	36.5401	0.0000	0.0000	0.0000
79.0000	4932.4528	992772.9208	23.1300	0.0000	0.0000	1.4210	18.3940	36.5367	0.0000	0.0000	0.0000
80.0000	4933.5915	992776.0663	23.1500	0.0000	0.0000	1.4210	18.3940	36.5451	0.0000	0.0000	0.0000
81.0000	4932.1713	992774.4835	23.1800	0.0000	0.0000	1.4210	18.3940	36.5346	0.0000	0.0000	0.0000
82.0000	4932.5398	992776.0237	23.1700	0.0000	0.0000	1.4210	18.3940	36.5373	0.0000	0.0000	0.0000
83.0000	4930.2086	992774.3850	23.1700	0.0000	0.0000	1.4210	18.3940	36.5201	0.0000	0.0000	0.0000
84.0000	4930.8918	992776.1455	23.1900	0.0000	0.0000	1.4210	18.3940	36.5251	0.0000	0.0000	0.0000
85.0000	4932.9082	992775.5662	23.1500	0.0000	0.0000	1.4210	18.3940	36.5401	0.0000	0.0000	0.0000
